Time,Distance,Disk
21:50:36,0.0,0.0
21:50:36,0.0,0.0
21:50:36,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:37,0.0,0.0
21:50:38,0.0,0.0
21:50:38,0.0,0.0
21:50:38,0.0,0.0
21:50:38,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:39,0.0,0.0
21:50:40,0.0,0.0
21:50:40,0.0,0.0
21:50:40,13.31,0.0
21:50:40,25.93,0.0
21:50:40,38.01,1.2212453270876712e-13
21:50:40,49.38,5.9788461538461535
21:50:40,60.2,87.01
21:50:41,70.48,94.00000000000001
21:50:41,80.33,99.0
21:50:41,89.67,99.0
21:50:41,98.46,99.0
21:50:41,106.91,99.0
21:50:41,106.91,99.0
21:50:42,106.91,99.0
21:50:42,114.9,99.0
21:50:42,122.42,99.0
21:50:42,129.57,99.0
21:50:42,136.36,99.0
21:50:42,142.94,99.0
21:50:42,142.94,99.0
21:50:43,149.08,99.0
21:50:43,154.92,99.0
21:50:43,160.53,99.0
21:50:43,165.86,99.0
21:50:43,171.03,99.0
21:50:43,175.82,99.0
21:50:43,180.36,99.0
21:50:43,184.72,99.0
21:50:44,188.75,99.0
21:50:44,192.62,99.0
21:50:44,192.62,99.0
21:50:44,196.45,99.0
21:50:44,199.94,99.0
21:50:44,203.4,99.0
21:50:44,206.59,99.0
21:50:45,206.59,99.0
21:50:45,209.57,99.0
21:50:45,212.45,99.0
21:50:45,215.07,99.0
21:50:45,217.74,99.0
21:50:45,220.23,99.0
21:50:46,222.49,99.0
21:50:46,224.7,99.0
21:50:46,226.78,99.0
21:50:46,228.71,99.0
21:50:46,230.59,99.0
21:50:46,232.31,99.0
21:50:46,233.96,99.0
21:50:46,235.6,99.0
21:50:47,235.6,99.0
21:50:47,235.6,99.0
21:50:47,237.07,99.0
21:50:47,238.49,99.0
21:50:47,239.81,99.0
21:50:47,241.09,99.0
21:50:48,242.41,99.0
21:50:48,243.6,99.0
21:50:48,244.76,99.0
21:50:48,245.86,99.0
21:50:48,245.86,99.0
21:50:48,247.03,99.0
21:50:49,247.03,99.0
21:50:49,247.03,99.0
21:50:49,247.03,99.0
21:50:49,241.29,99.0
21:50:49,235.7,99.0
21:50:49,230.34,99.0
21:50:49,225.21,99.0
21:50:50,220.46,99.0
21:50:50,215.87,99.0
21:50:50,211.46,99.0
21:50:50,207.36,99.0
21:50:50,203.88,99.0
21:50:50,200.11,99.0
21:50:50,196.62,99.0
21:50:51,193.3,99.0
21:50:51,190.07,99.0
21:50:51,187.2,99.0
21:50:51,184.39,99.0
21:50:51,181.69,99.0
21:50:51,179.14,99.0
21:50:51,176.62,99.0
21:50:51,174.17,99.0
21:50:52,171.9,99.0
21:50:52,169.7,99.0
21:50:52,167.67,99.0
21:50:52,165.61,99.0
21:50:52,163.7,99.0
21:50:52,161.86,99.0
21:50:52,160.07,99.0
21:50:52,158.51,99.0
21:50:53,156.9,99.0
21:50:53,155.37,99.0
21:50:53,153.92,99.0
21:50:53,152.52,99.0
21:50:53,151.33,99.0
21:50:53,150.06,99.0
21:50:53,148.92,99.0
21:50:53,147.81,99.0
21:50:54,146.74,99.0
21:50:54,145.72,99.0
21:50:54,144.71,99.0
21:50:54,143.77,99.0
21:50:54,142.86,99.0
21:50:54,142.0,99.0
21:50:54,141.21,99.0
21:50:54,140.45,99.0
21:50:55,139.74,99.0
21:50:55,139.04,99.0
21:50:55,138.38,99.0
21:50:55,137.74,99.0
21:50:55,137.12,99.0
21:50:55,136.52,99.0
21:50:55,136.52,99.0
21:50:56,131.54,99.0
21:50:56,126.6,99.0
21:50:56,121.85,99.0
21:50:56,117.31,99.0
21:50:56,113.02,99.0
21:50:56,108.86,99.0
21:50:56,104.94,99.0
21:50:56,101.14,99.0
21:50:57,97.54,99.0
21:50:57,94.13,99.0
21:50:57,90.84,99.0
21:50:57,87.71,99.0
21:50:57,84.79,99.0
21:50:57,82.0,99.0
21:50:57,79.35,99.0
21:50:57,76.81,97.50312499999998
21:50:58,74.42,96.00357142857143
21:50:58,72.11,94.51375
21:50:58,69.91,93.0298076923077
21:50:58,67.83,91.54921875
21:50:58,65.89,90.52013888888888
21:50:58,63.98,89.04642857142856
21:50:58,62.18,88.03152173913043
21:50:58,60.47,87.0235
21:50:59,58.84,11.982000000000001
21:50:59,57.3,10.98369565217391
21:50:59,55.8,9.988095238095235
21:50:59,54.34,8.996052631578946
21:50:59,53.0,8.458333333333332
21:50:59,51.7,7.4765625
21:50:59,50.49,6.940833333333334
21:50:59,49.36,5.976923076923076
21:50:59,48.26,5.44375
21:51:00,47.21,4.9102272727272736
21:51:00,46.25,3.979166666666667
21:51:00,45.29,3.4515624999999988
21:51:00,44.4,2.928571428571428
21:51:00,43.53,2.4020833333333336
21:51:00,42.7,1.875
21:51:00,41.92,1.3499999999999985
21:51:00,41.23,0.8458333333333283
21:51:01,41.23,0.8458333333333283
21:51:01,41.23,0.8458333333333283
21:51:01,41.23,0.8458333333333283
21:51:01,39.69,2.220446049250311e-13
21:51:01,38.08,1.2490009027033e-13
21:51:01,36.55,3.3306690738754665e-14
21:51:02,35.08,0.0
21:51:02,33.71,0.0
21:51:02,32.4,0.0
21:51:02,31.17,0.0
21:51:02,30.05,0.0
21:51:02,28.99,0.0
21:51:02,28.03,0.0
21:51:02,27.17,0.0
21:51:03,26.43,0.0
21:51:03,25.85,0.0
21:51:03,25.2,0.0
21:51:03,24.56,0.0
21:51:03,23.91,0.0
21:51:03,23.29,0.0
21:51:03,22.68,0.0
21:51:03,22.12,0.0
21:51:03,21.63,0.0
21:51:04,21.11,0.0
21:51:04,20.63,0.0
21:51:04,20.18,0.0
21:51:04,19.73,0.0
21:51:04,19.34,0.0
21:51:04,18.96,0.0
21:51:04,18.58,0.0
21:51:04,18.2,0.0
21:51:05,17.86,0.0
21:51:05,17.53,0.0
21:51:05,17.24,0.0
21:51:05,16.94,0.0
21:51:05,16.64,0.0
21:51:05,16.35,0.0
21:51:05,16.07,0.0
21:51:05,15.81,0.0
21:51:06,15.46,0.0
21:51:06,15.0,0.0
21:51:06,14.47,0.0
21:51:06,14.03,0.0
21:51:06,13.56,0.0
21:51:06,13.12,0.0
21:51:06,12.69,0.0
21:51:06,12.3,0.0
21:51:07,11.91,0.0
21:51:07,11.52,0.0
21:51:07,11.18,0.0
21:51:07,10.9,0.0
21:51:07,10.59,0.0
21:51:07,10.3,0.0
21:51:07,10.07,0.0
21:51:07,9.85,0.0
21:51:07,9.64,0.0
21:51:08,9.44,0.0
21:51:08,9.25,0.0
21:51:08,9.07,0.0
21:51:08,8.9,0.0
21:51:08,8.74,0.0
21:51:08,8.59,0.0
21:51:08,8.44,0.0
21:51:08,8.26,0.0
21:51:09,8.09,0.0
21:51:09,7.94,0.0
21:51:09,7.78,0.0
21:51:09,7.67,0.0
21:51:09,7.57,0.0
21:51:09,7.43,0.0
21:51:09,7.29,0.0
21:51:09,7.21,0.0
21:51:10,7.1,0.0
21:51:10,7.1,0.0
21:51:10,7.0,0.0
21:51:10,7.0,0.0
21:51:10,7.0,0.0
21:51:10,7.0,0.0
21:51:11,7.0,0.0
21:51:11,7.0,0.0
21:51:11,7.0,0.0
21:51:11,7.0,0.0
21:51:12,7.0,0.0
21:51:12,7.0,0.0
